iter	Logloss
0	0.6920739934
1	0.6909774854
2	0.6899452468
3	0.689162134
4	0.6879889529
5	0.6868915741
6	0.6858512252
7	0.6845994044
8	0.6832575061
9	0.6824998083
10	0.6813645456
11	0.6804428831
12	0.6793771807
13	0.6782104168
14	0.6771352655
15	0.6760831475
16	0.6751577215
17	0.6742500727
18	0.6733162715
19	0.6723004467
20	0.6712756148
21	0.6703929239
22	0.6691410695
23	0.6681910471
24	0.6673329324
25	0.6664446068
26	0.6655113431
27	0.664567839
28	0.6638769229
29	0.6631147091
30	0.6619916825
31	0.6609519873
32	0.6603371344
33	0.6592448529
34	0.6586401455
35	0.6576576763
36	0.6567873196
37	0.656105074
38	0.6549672647
39	0.6540633242
40	0.653107279
41	0.6520538092
42	0.6512844965
43	0.6503304427
44	0.6493525828
45	0.6485954433
46	0.6477547684
47	0.646976443
48	0.6460816602
49	0.6453270322
50	0.6444183446
51	0.6437404802
52	0.642954512
53	0.6422664677
54	0.6417557156
55	0.6409624354
56	0.6401742008
57	0.6394700466
58	0.6388462979
59	0.6380685824
60	0.6373895447
61	0.6369078984
62	0.6360248847
63	0.6353331877
64	0.6346037756
65	0.63384177
66	0.633063875
67	0.6323623758
68	0.6318499181
69	0.6311857544
70	0.6305730135
71	0.6298819223
72	0.6292223074
73	0.6285515954
74	0.6279084962
75	0.6270310303
76	0.6263414048
77	0.6258825949
78	0.6252686965
79	0.624402873
80	0.623680884
81	0.6230983272
82	0.6224241495
83	0.6218475798
84	0.6214464393
85	0.6207401191
86	0.6201740156
87	0.6195600021
88	0.6190160244
89	0.6183184026
90	0.6176410747
91	0.6172561572
92	0.6167452735
93	0.6159772592
94	0.6153164425
95	0.6146304482
96	0.6142686822
97	0.6137281081
98	0.6131546275
99	0.6126324817
100	0.6120708758
101	0.6114947179
102	0.6108428756
103	0.6103906992
104	0.609860494
105	0.6091875352
106	0.608702422
107	0.6082134046
108	0.6076664715
109	0.6071068815
110	0.6066235637
111	0.6061110573
112	0.6056191764
113	0.6050677448
114	0.6047574478
115	0.604277132
116	0.6038324968
117	0.6033088042
118	0.6027135076
119	0.6022791252
120	0.6018514245
121	0.6014090236
122	0.6009530982
123	0.6004952343
124	0.5999680371
125	0.5994239691
126	0.5988230552
127	0.598400323
128	0.5978684836
129	0.597449397
130	0.596931587
131	0.5965000075
132	0.5960351668
133	0.5954632239
134	0.5950232228
135	0.5944601374
136	0.5940813011
137	0.5936095527
138	0.5932683824
139	0.5928041687
140	0.5923129044
141	0.5918047341
142	0.5913307867
143	0.5908920764
144	0.5905280661
145	0.590076926
146	0.5897178067
147	0.5892683553
148	0.5887921662
149	0.588321518
150	0.5880020443
151	0.5875779307
152	0.5872844143
153	0.58685045
154	0.5864828861
155	0.5862051502
156	0.5857094828
157	0.5853440885
158	0.5849124596
159	0.5845924692
160	0.5841744927
161	0.583966264
162	0.5835837844
163	0.5832053299
164	0.5828052873
165	0.5824765386
166	0.5821843344
167	0.5818540596
168	0.581657561
169	0.5812549904
170	0.5807347786
171	0.5803557299
172	0.5798638096
173	0.5795935263
174	0.5792659767
175	0.578994902
176	0.5786806295
177	0.5782749846
178	0.5779044044
179	0.5774719961
180	0.576993728
181	0.5766230308
182	0.5763413626
183	0.5758934747
184	0.5757218176
185	0.5753993916
186	0.5751237054
187	0.57484711
188	0.5744895459
189	0.5740964534
190	0.5738068302
191	0.5735443226
192	0.5729656209
193	0.5727109247
194	0.5722677228
195	0.5718670213
196	0.5714866629
197	0.5713327605
198	0.5709825154
199	0.5706372202
200	0.5702261127
201	0.5698273696
202	0.5694436561
203	0.5692453729
204	0.5690201606
205	0.56865936
206	0.5684734456
207	0.5681134389
208	0.5678682775
209	0.5673646647
210	0.5670609585
211	0.5667880632
212	0.5665444608
213	0.5662314295
214	0.5659423107
215	0.5655317335
216	0.5652474913
217	0.5647653371
218	0.5645341273
219	0.5641444059
220	0.5638848338
221	0.5634168244
222	0.5631306525
223	0.5628318654
224	0.5624575675
225	0.5622388377
226	0.561896845
227	0.5615921347
228	0.5613368558
229	0.5611355596
230	0.5609172803
231	0.5606599484
232	0.5604036154
233	0.5601515828
234	0.559946728
235	0.5596064815
236	0.5594928275
237	0.559275078
238	0.5590476965
239	0.5586861418
240	0.5584400733
241	0.5582429965
242	0.5579656058
243	0.5576392946
244	0.5572947867
245	0.557087138
246	0.556900796
247	0.5564859537
248	0.5562265592
249	0.5558193302
250	0.5555347128
251	0.5552605804
252	0.5549107494
253	0.5546500058
254	0.5545541373
255	0.5542740801
256	0.5540993609
257	0.5538713411
258	0.553601034
259	0.5533155305
260	0.5530891065
261	0.5528398849
262	0.5526530301
263	0.552465445
264	0.5521348006
265	0.5518940208
266	0.5516323218
267	0.5515437421
268	0.5511076837
269	0.5509765724
270	0.5508268667
271	0.5506478734
272	0.5502180531
273	0.550046185
274	0.5497204564
275	0.5494568116
276	0.5492957964
277	0.5491339568
278	0.5489163868
279	0.5486581578
280	0.5482072851
281	0.5479844973
282	0.5476950509
283	0.5473676857
284	0.5471267783
285	0.5469689112
286	0.5468125002
287	0.5465815515
288	0.5464895215
289	0.5462842879
290	0.5459694819
291	0.545904726
292	0.5457354058
293	0.5455209555
294	0.5453855881
295	0.5452137957
296	0.5450414028
297	0.5448335147
298	0.5447857186
299	0.5445689694
300	0.5444063383
301	0.5442053103
302	0.5440798134
303	0.5439527674
304	0.5438089309
305	0.5437611392
306	0.5435781816
307	0.5434854291
308	0.5432269705
309	0.5429177739
310	0.5428287144
311	0.5425665758
312	0.5423559985
313	0.5422862218
314	0.5419611297
315	0.5417233689
316	0.5414238213
317	0.5412840509
318	0.5412208128
319	0.540962506
320	0.5407945515
321	0.5404293839
322	0.5403133812
323	0.540215867
324	0.540153484
325	0.540015094
326	0.539826135
327	0.5395928909
328	0.5394107764
329	0.5392922757
330	0.5389043375
331	0.538817914
332	0.5386222029
333	0.5385093294
334	0.5383968255
335	0.5381628082
336	0.5380075304
337	0.5378003256
338	0.5374371901
339	0.5371222125
340	0.5370811999
341	0.5368916131
342	0.5366317662
343	0.5365569601
344	0.536468181
345	0.5362200267
346	0.5360378684
347	0.5359328717
348	0.5357980025
349	0.5357474534
350	0.5355509477
351	0.5353963307
352	0.5352003596
353	0.5348869997
354	0.5348334927
355	0.5346401137
356	0.5343898268
357	0.534253548
358	0.5342311864
359	0.5341354274
360	0.5340137839
361	0.5338968184
362	0.5338099392
363	0.533749007
364	0.533655629
365	0.5335907538
366	0.5335112286
367	0.5334448675
368	0.5331936812
369	0.5329390188
370	0.5327780946
371	0.5327564432
372	0.5326005836
373	0.5325507067
374	0.5324267789
375	0.532318494
376	0.532048513
377	0.5319348362
378	0.5318411645
379	0.5316709858
380	0.5315279098
381	0.5314567001
382	0.531297865
383	0.5310679336
384	0.5308829105
385	0.5307328816
386	0.5306361343
387	0.530501657
388	0.5304512857
389	0.5303501684
390	0.5301096327
391	0.529992784
392	0.5298541314
393	0.5296013553
394	0.5293828156
395	0.5291116987
396	0.5288676624
397	0.528798576
398	0.5286460741
399	0.528551041
400	0.5283821264
401	0.5281958778
402	0.5279724679
403	0.5277675434
404	0.5275913068
405	0.5274016943
406	0.5271286186
407	0.5269374322
408	0.5268359797
409	0.526710723
410	0.5266476086
411	0.5265228093
412	0.5263480212
413	0.5262589831
414	0.5260836943
415	0.5259941719
416	0.5258352175
417	0.5256746675
418	0.5254345756
419	0.5252930971
420	0.5250943661
421	0.5249292111
422	0.5247738128
423	0.5247306983
424	0.5246445567
425	0.5244584485
426	0.524331511
427	0.524230792
428	0.524051269
429	0.5239536254
430	0.5238257191
431	0.5237588554
432	0.5236760155
433	0.5234759354
434	0.523343412
435	0.5232841215
436	0.5231694268
437	0.5230024682
438	0.522877948
439	0.5227080784
440	0.5225497763
441	0.522406742
442	0.5223916374
443	0.5222205883
444	0.5220517881
445	0.5220017389
446	0.5218088324
447	0.5216205643
448	0.5215018993
449	0.5213435331
450	0.5211385087
451	0.5210616916
452	0.5208996425
453	0.5207061165
454	0.5205438724
455	0.520442649
456	0.5202298237
457	0.5200297499
458	0.5199931587
459	0.5199024467
460	0.5198537706
461	0.519765911
462	0.5196916978
463	0.5196045329
464	0.519502031
465	0.5193835129
466	0.5193401387
467	0.5192679482
468	0.5190562506
469	0.5188323201
470	0.5187271561
471	0.518727143
472	0.5185339309
473	0.5183145931
474	0.5182802291
475	0.5182126152
476	0.518068574
477	0.5180551328
478	0.5178144954
479	0.5176879778
480	0.5174819593
481	0.517361527
482	0.5172480258
483	0.5170994489
484	0.5170012466
485	0.5168822118
486	0.5166924326
487	0.5166763556
488	0.516507578
489	0.5163223072
490	0.5162878607
491	0.5162637018
492	0.5161736525
493	0.5160112238
494	0.5159088335
495	0.5157581165
496	0.5157354781
497	0.5156355403
498	0.5155337816
499	0.5154106139
500	0.5153050597
501	0.5151793768
502	0.5151102181
503	0.5150958175
504	0.5150237639
505	0.5149818316
506	0.5148416865
507	0.5146744172
508	0.5146744143
509	0.5144734418
510	0.5144421365
511	0.5142566587
512	0.5141010597
513	0.5139248459
514	0.5138635865
515	0.5138198927
516	0.5135864464
517	0.5134734438
518	0.5131900894
519	0.513109323
520	0.5130322121
521	0.5129415768
522	0.5129139145
523	0.5129028792
524	0.5128834612
525	0.5127724713
526	0.512657576
527	0.5125918066
